"","week_of","region","mmwr","weighted_ili","per_ili","ath_ili","twe_ili"
"121","2018-04-30","National",201818,1.52612,0.887386435664483,0.895037789755361,0.13122817975974
"122","2018-04-30","Region 1",201818,1.34454,0.863723608445297,0.842107438443496,0.177533892834086
"123","2018-04-30","Region 2",201818,2.97661,0.644122383252818,1.04901218019698,0.11399691141373
"124","2018-04-30","Region 3",201818,1.25161,0.983899821109123,1.20227017924993,0.115751846828031
"125","2018-05-07","National",201819,1.28847,0.744918591039694,0.767806874869083,0.097558186933914
"126","2018-05-07","Region 1",201819,0.993134,0.393700787401575,0.674122717012107,0.234417031742372
"127","2018-05-07","Region 2",201819,1.99419,0.610687022900763,0.902242717612351,0.105269914628667
"128","2018-05-07","Region 3",201819,0.886278,0.460829493087558,0.978526536312849,0.134724927008407
"129","2018-05-14","National",201820,1.18344,0.853111670130154,0.716705396744551,0.100496599119772
"130","2018-05-14","Region 1",201820,0.958522,0.707070707070707,0.708376527024006,0.255927738050433
"131","2018-05-14","Region 2",201820,1.95103,0.797448165869218,0.856728991556597,0.117918734338918
"132","2018-05-14","Region 3",201820,0.866576,1.18074477747502,0.831611843847661,0.148963475284959
